"address","zip_code","num_bed","num_bath","home_area","price"
"14018 Gridley Rd, Norwalk",90650,3,2,1251,605
"13518 Gard Ave, Norwalk",90650,2,1,749,605
"13509 Corby Ave, Norwalk",90650,2,2,1360,745000
"13524 Corby Ave, Norwalk",90650,2,1,1173,715000
"11814 Lesser St, Norwalk",90650,2,1,895,550000
"14016 Jersey Ave, Norwalk",90650,4,3,1766,725000
"14008 Roseton Ave, Norwalk",90650,2,1,768,665500
"14026 Roseton Ave, Norwalk",90650,2,1,766,705
"14049 Gard Ave, Norwalk",90650,3,2,1603,760000
"13522 Delavan Ave, Norwalk",90650,2,1,768,605
"13623 Silverbow Ave, Norwalk",90650,3,1,1080,750000
"12330 Sproul St, Norwalk",90650,4,2,1650,765000
"12324 Sproul St, Norwalk",90650,2,1,1028,610000
"12318 Sproul St, Norwalk",90650,2,1,766,676000
"12228 Pine St, Norwalk",90650,3,1,1148,713000
"14432 Shoemaker Ave, Norwalk",90650,2,1,750,650000
"14526 Gracebee Ave, Norwalk",90650,3,2,1338,685000
"14616 Painter Ave, Norwalk",90650,2,1,750,260000
"14602 Painter Ave, Norwalk",90650,2,1,750,550000
"14508 Painter Ave, Norwalk",90650,2,1,775,650000
"14619 Maryton Ave, Norwalk",90650,2,1,776,620000
"14442 Maryton Ave, Norwalk",90650,2,2,1272,715000
"14343 Cabrillo Ave, Norwalk",90650,3,2,1296,695000
"14400 Cabrillo Ave, Norwalk",90650,3,1,1080,693000
"14322 Cabrillo Ave, Norwalk",90650,3,2,1168,695000
