"address","zip_code","num_bed","num_bath","home_area","price"
"442 South Peck Drive Beverly Hills",90212,5,4,3710,4795000
"808 John Street Manhattan Beach",90266,5,5,6604,16900000
"3268 Serra Road Malibu",90265,5,4,5226,10995000
"623 North Rexford Drive Beverly Hills",90210,3,2,1814,6950000
"20395 Seaboard Road Malibu",90265,3,2,3020,4899900
"11400 Sunshine Terrace Studio City",91604,5,6,7600,8899000
"1061 Loma Vista Drive Beverly Hills",90210,6,8,8800,21995000
"9463 Sunset Boulevard Beverly Hills",90210,5,6,7029,28900000
"6245 Drexel Avenue Los Angeles",90048,5,4,3450,5495000
"424 North Flores Street Los Angeles",90048,5,6,6438,5498888
"22800 Beckledge Terrace Malibu",90265,3,3,2878,8250000
"405 Hillcrest Boulevard Arcadia",91006,4,3,2878,2998000
"1003 North Beverly Drive Beverly Hills",90210,5,8,5054,10995000
"944 Harbor Crossing Lane Marina del Rey",90292,3,2,3586,2899000
"4430 White Oak Place Encino",91316,6,6,4626,2800000
"25813 Dark Creek Road Calabasas",91302,3,2,2726,2650000
"7612 Cowan Avenue Los Angeles",90045,5,5,3326,2650000
"2203 Marian Place Venice",90291,6,4,4048,3899000
"1119 Schuyler Road Beverly Hills",90210,4,4,3292,6890000
"5832 Scotwood Drive Rancho Palos Verdes",90275,4,4,2816,2199000
"5515 Foothill Drive Agoura Hills",91301,4,4,3474,2449000
"433 West 104th Street Los Angeles",90003,3,1,935,599000
"698 Moulton Avenue Los Angeles",90031,3,3,9180,4999000
"133 South Mapleton Drive Los Angeles",90024,9,1,30000,65000000
"820 Columbia Avenue Los Angeles",90015,3,1,1608,789000
"13869 Tucker Avenue Sylmar",91342,4,2,1894,700000
"1639 3rd Street Manhattan Beach",90266,5,2,4098,2999000
"2921 South Pacific Avenue San Pedro",90731,2,2,705,778000
"1824 V�a Visalia Palos Verdes Estates",90274,3,2,2073,2950000
"1201 23rd Street Manhattan Beach",90266,6,5,3442,3249000
"21301 Bermuda Street Chatsworth",91311,6,4,4171,2200000
"1243 Beverly Green Drive Beverly Hills",90212,4,4,3486,5295000
"18808 Annmae Place Santa Clarita",91350,5,4,3218,1600000
"32075 Canterhill Place Westlake Village",91361,4,4,4091,2399999
"8460 Hanna Avenue West Hills",91304,3,1,1594,950000
"11403 Milano Avenue Norwalk",90650,3,2,1148,770000
"8531 Norwich Avenue North Hills",91343,4,2,1780,1099990
"4969 Palo Drive Tarzana",91356,4,3,3236,2295000
"30478 Mulholland Highway Agoura Hills",91301,2,1,1594,1195000
"32099 Lobo Canyon Road Agoura Hills",91301,6,5,7400,6995000
"1722 Cadenhorn Drive Agoura Hills",91301,4,3,3921,5450000
"3906 Jim Bowie Road Agoura Hills",91301,4,2,2000,1595000
"1560 Granvia Altamira Palos Verdes Estates",90274,5,4,4950,5350000
"27069 Amber Sky Way Valencia",91381,3,2,2554,1099000
"17823 Rinaldi Street Granada Hills",91344,3,2,1680,975000
"6889 Dume Drive Malibu",90265,6,8,8500,28500000
"3735 Seahorn Drive Malibu",90265,4,3,2286,3200000
"933 Dalton Springs Lane Glendora",91741,4,3,2463,1398000
"430 Long Canyon Road Bradbury",91008,6,9,8302,7300000
"27058 Sea Vista Drive Malibu",90265,3,3,1968,5475000
"243 Newport Avenue Long Beach",90803,4,3,4009,2395000
"6328 Paseo Cyn Drive Malibu",90265,4,3,2580,4095000
"6228 Trancas Canyon Road Malibu",90265,4,2,2400,4500000
"27931 Winding Way Malibu",90265,6,7,7297,7995000
"123 North Doheny Drive Beverly Hills",90211,5,5,4446,5188000
"15448 Mustang Lane North Hills",91343,5,3,2105,699000
"29549 Harvester Road Malibu",90265,4,3,4007,7799000
"3242 Parkhurst Drive Rancho Palos Verdes",90275,5,4,4750,3300000
"3301 The Strand Hermosa Beach",90254,5,4,5150,20700000
"2106 Barrywood Avenue San Pedro",90731,5,3,1934,1355000
"27366 Winding Way Malibu",90265,6,7,7173,7988000
"28870 Hampton Place Malibu",90265,4,3,2956,5995000
"9455 Hierba Road Agua Dulce",91390,5,4,5794,888000
"432 Terraine Avenue Long Beach",90814,3,3,3118,1575000
"32357 Pacific Coast Highway Malibu",90265,5,9,9975,24950000
"33269 Mulholland Highway Malibu",90265,3,3,3256,4895000
"1132 West Florence Avenue Los Angeles",90044,3,2,1040,625000
"6277 Sea Star Drive Malibu",90265,7,5,6863,12750000
"2223 Swiftwater Way Glendora",91741,5,4,3485,1898000
"32009 Cape Point Drive Rancho Palos Verdes",90275,6,6,6149,10888000
"5601 East Sorrento Drive Long Beach",90803,3,3,3164,4250000
"62 Corinthian Walk Long Beach",90803,4,3,2492,2495000
"6086 Lido Lane Long Beach",90803,4,4,3970,7250000
"418 St Augustine Avenue Claremont",91711,3,1,1174,839000
"17565 Lone Pine Trail Lake Hughes",93532,2,1,761,275000
